time_period,ref_area,accounting_entry,sto,obs_value
1995,AT,B,B2A3N,17513
1995,AT,C,D1,90775.1
1995,BE,B,B2A3N,23821.2
1995,BE,B,B6N,129259.4
1995,BE,C,D1,108834.5
1995,BE,C,D4,31856.2
1995,BE,C,D62,39851.4
1995,BE,C,D7,4217.8
1995,BE,D,D4,3615
1995,BE,D,D5,28494.8
1995,BE,D,D61,41739.7
1995,BE,D,D7,5472.2
1995,BG,B,B2A3N,307.335
1995,BG,B,B6N,1017.09
1995,BG,C,D1,379.896
1995,BG,C,D4,870.776
1995,BG,C,D62,88.691
1995,BG,C,D7,11.442
1995,BG,D,D4,511.699
1995,BG,D,D5,25.985
1995,BG,D,D61,84.565
1995,BG,D,D7,16.726
1995,CH,B,B2A3N,39466.359365
1995,CH,B,B6N,235235.47991
1995,CH,C,D1,225992.327863
1995,CH,C,D4,57367.922178
1995,CH,C,D62,63802.214281
1995,CH,C,D7,15472.698222
1995,CH,D,D4,18215.662255
1995,CH,D,D5,43218.597284
1995,CH,D,D61,82235.853564
1995,CH,D,D7,23403.321401
1995,CY,B,B2A3N,1070.476
1995,CY,B,B6N,4267.127
1995,CY,C,D1,3149.972
1995,CY,C,D4,394.315
1995,CY,C,D62,771.868
1995,CY,C,D7,162.422
1995,CY,D,D4,85.74
1995,CY,D,D5,300.4
1995,CY,D,D61,777.765
1995,CY,D,D7,115.022
1995,CZ,B,B2A3N,246441
1995,CZ,B,B6N,812932
1995,CZ,C,D1,628682
1995,CZ,C,D4,80921
1995,CZ,C,D62,173148
1995,CZ,C,D7,51036
1995,CZ,D,D4,15594
1995,CZ,D,D5,75643
1995,CZ,D,D61,232662
1995,CZ,D,D7,43397
1995,DK,B,B2A3N,81497
1995,DK,B,B6N,476702
1995,DK,C,D1,522719
1995,DK,C,D4,83798
1995,DK,C,D62,221124
1995,DK,C,D7,22119
1995,DK,D,D4,67547
1995,DK,D,D5,287245
1995,DK,D,D61,66271
1995,DK,D,D7,33492
1995,EE,B,B2A3N,243
1995,EE,B,B6N,1800.7
1995,EE,C,D1,1447
1995,EE,C,D4,62.9
1995,EE,C,D62,272.4
1995,EE,C,D7,380.3
1995,EE,D,D4,2.8
1995,EE,D,D5,233.8
1995,EE,D,D61,349.7
1995,EE,D,D7,18.5
1995,ES,B,B2A3N,82787
1995,ES,B,B6N,288439
1995,ES,C,D1,219804
1995,ES,C,D4,22530
1995,ES,C,D62,65967
1995,ES,C,D7,26718
1995,ES,D,D4,4860
1995,ES,D,D5,35513
1995,ES,D,D61,62575
1995,ES,D,D7,26412
1995,FI,B,B2A3N,7777
1995,FI,B,B6N,50062
1995,FI,C,D1,47365
1995,FI,C,D4,5306
1995,FI,C,D62,21502
1995,FI,C,D7,1067
1995,FI,D,D4,2046
1995,FI,D,D5,14087
1995,FI,D,D61,14724
1995,FI,D,D7,2098
1995,FR,B,B2A3N,133307
1995,FR,B,B6N,712903
1995,FR,C,D1,628303
1995,FR,C,D4,80509
1995,FR,C,D62,238845
1995,FR,C,D7,35953
1995,FR,D,D4,24472
1995,FR,D,D5,76090
1995,FR,D,D61,269000
1995,FR,D,D7,34451
1995,HR,B,B2A3N,16634.653607
1995,HR,B,B6N,67985.662579
1995,HR,C,D1,53653.763307
1995,HR,C,D4,1868.715337
1995,HR,C,D62,20725.260708
1995,HR,C,D7,1917.822385
1995,HR,D,D4,373.113486
1995,HR,D,D5,6375.665848
1995,HR,D,D61,18575.216696
1995,HR,D,D7,1490.556735
1995,HU,B,B2A3N,1023505
1995,HU,B,B6N,3587824
1995,HU,C,D1,2606453
1995,HU,C,D4,429289
1995,HU,C,D62,890977
1995,HU,C,D7,97176
1995,HU,D,D4,97604
1995,HU,D,D5,385565
1995,HU,D,D61,877045
1995,HU,D,D7,99362
1995,IT,B,B2A3N,199153.9
1995,IT,B,B6N,687221.5
1995,IT,C,D1,381494.7
1995,IT,C,D4,223439.6
1995,IT,C,D62,172007
1995,IT,C,D7,19024
1995,IT,D,D4,19662.9
1995,IT,D,D5,103725.8
1995,IT,D,D61,158413.6
1995,IT,D,D7,26158.7
1995,LT,B,B2A3N,1315.809867
1995,LT,B,B6N,4646.764026
1995,LT,C,D1,2901.501031
1995,LT,C,D4,859.1286
1995,LT,C,D62,639.285563
1995,LT,C,D7,100.010184
1995,LT,D,D4,89.2998
1995,LT,D,D5,493.285577
1995,LT,D,D61,565.166253
1995,LT,D,D7,21.21959
1995,LU,B,B2A3N,1521.5
1995,LU,B,B6N,7196.4
1995,LU,C,D1,6165.2
1995,LU,C,D4,770.4
1995,LU,C,D62,1963.2
1995,LU,C,D7,167.2
1995,LU,D,D4,299.2
1995,LU,D,D5,1166
1995,LU,D,D61,1739.4
1995,LU,D,D7,186.2
1995,LV,B,B2A3N,287.948
1995,LV,B,B6N,1902.268
1995,LV,C,D1,1667.058
1995,LV,C,D4,63.263
1995,LV,C,D62,523.887
1995,LV,C,D7,38.791
1995,LV,D,D4,5.58
1995,LV,D,D5,197.392
1995,LV,D,D61,472.51
1995,LV,D,D7,3.197
1995,MT,B,B2A3N,440.465145
1995,MT,C,D1,1391.496299
1995,NL,B,B2A3N,28920
